modlegacy,0
norunexample,0
rundir,0
script,40960
shadow,0
src,8192
testcover,0
testimport,0
testinternal,0
testinternal2,0
testinternal3,0
testinternal4,0
testonly,0
testonly2,0
testterminal18153,0
testvendor,0
testvendor2,0
src,0
bad,0
conflict,0
works,0
wrongplace,0
x,0
src,0
selfimport,0
easysub,0
sub,0
sub,0
src,0
new,0
old,0
p1,0
p2,0
sub,0
inner,0
x,0
x,0
v1,0
y,0
p1,0
p2,0
sub,0
root1,0
root2,0
src,0
foo,0
math,0
src,0
foo,0
badc,0
badpkg,0
bench,0
benchfatal,0
canonical,0
cgoasm,0
cgocover,0
cgocover2,0
cgocover3,0
cgocover4,0
cgotest,0
coverasm,0
coverbad,0
coverdep,0
coverdep2,0
coverdot1,0
coverdot2,0
dupload,0
empty,4096
exclude,0
gencycle,0
go-cmd-test,0
hello,0
importmain,0
main_test,0
multimain,0
my.pkg,0
notest,0
not_main,0
run,0
skipper,0
sleepy1,0
sleepy2,0
sleepybad,0
syntaxerror,0
testcache,0
testcycle,0
testdep,0
testlist,0
testnorun,0
testrace,0
testregexp,0
vend,0
vetcycle,0
vetfail,0
vetpkg,0
xtestonly,0
a,0
b,0
d,0
vendor,0
c,0
p1,0
p1,0
p2,0
p,0
p2,0
vendor,0
p,0
pkg,0
pkgtest,0
pkgtestxtest,0
pkgxtest,0
test,0
testxtest,0
xtest,0
empty,0
ignore,0
ismain,0
test,0
main,0
internal,0
subdir,0
internal,0
private,0
p1,0
p2,0
p3,0
q1,0
p1,0
p2,0
p3,0
dir1,0
hello,0
subdir,0
vendor,0
x,0
p,0
q,0
strings,0
vend,0
dir1,0
dir2,0
invalid,0
vendor,0
p,0
r,0
p,0
p1,0
p2,0
pkg1,0
pkg2,0
pkg3,0
pkg4,0
p1,0
p2,0
x,0
y,0
z,0
internal,0
w,0
src,0
p,0
q,0
internal,0
j,0
x,0
src,0
p,0
q,0
vendor,0
y,0
z,0
x,0
src,0
vendor,0
p,0
x,0
testdata,8192
bio,0
browser,0
buildid,0
dwarf,0
edit,0
gcprog,0
goobj,0
obj,4096
objabi,4096
objfile,4096
src,0
sys,0
test2json,0
testdata,0
testdata,0
mycgo,0
arm,0
arm64,4096
mips,0
ppc64,4096
s390x,4096
wasm,0
x86,4096
testdata,4096
internal,4096
testdata,0
amd64,0
arm,0
arm64,0
ld,4096
loadelf,0
loadmacho,0
loadpe,0
loadxcoff,0
mips,0
mips64,0
objfile,0
ppc64,0
s390x,0
sym,4096
wasm,0
x86,0
testdata,0
httptest,0
issue10978,0
issue25459,0
issue26237,0
issue32233,0
main,0
a,0
main,0
b.dir,0
main,0
lib,0
main,0
testdata,0
github.com,0
golang.org,0
google,0
ianlancetaylor,0
pprof,4096
driver,0
internal,4096
profile,4096
third_party,0
binutils,0
driver,4096
elfexec,0
graph,0
measurement,0
plugin,0
report,0
symbolizer,0
symbolz,0
transport,0
d3,0
d3flamegraph,0
svgpan,0
demangle,0
x,0
arch,4096
crypto,0
sys,0
tools,0
arm,0
arm64,0
ppc64,0
x86,0
armasm,0
arm64asm,4096
ppc64asm,4096
x86asm,4096
ssh,0
terminal,4096
unix,65536
windows,4096
go,0
analysis,0
ast,0
cfg,0
types,0
internal,0
passes,4096
unitchecker,0
analysisflags,0
facts,0
